component_id,node_count,user_count,merchant_count,transaction_count,transaction_value,chargeback_transactions,fraud_chargeback_transactions,chargeback_ratio,max_risk_score,identity_anomaly_transactions,repeated_chargeback_user_transactions,high_chargeback_merchant_transactions,network_risk_score,network_activity_flag
69,7,5,2,6,59201.14,0,0,0.0,3.0,0.0,0,0,1.5,1
70,2,1,1,1,14757.01,0,0,0.0,0.0,0.0,0,0,0.0,0
71,5,4,1,4,73551.19,1,1,0.25,48.0,0.0,0,0,64.0,1
72,10,8,2,9,149663.39,0,0,0.0,17.0,2.0,0,0,18.5,1
73,5,3,2,4,14908.98,1,0,0.25,15.0,0.0,0,0,17.5,1
74,5,3,2,4,40814.45,0,0,0.0,15.0,1.0,0,0,12.5,1
75,18,14,4,17,249037.71,3,2,0.17647058823529413,45.0,2.0,0,0,122.5,1
76,5,3,2,4,44053.42,1,0,0.25,15.0,0.0,0,0,17.5,1
77,3,2,1,2,24563.21,0,0,0.0,3.0,0.0,0,0,1.5,1
78,4,3,1,3,40379.53,0,0,0.0,20.0,1.0,0,0,15.0,1
79,8,6,2,7,67321.22,2,1,0.2857142857142857,52.0,0.0,0,0,76.0,1
80,9,6,3,8,94001.62,2,1,0.25,45.0,0.0,0,0,72.5,1
81,25,18,7,24,167548.71,4,1,0.16666666666666666,45.0,1.0,0,0,97.5,1
82,3,2,1,2,-2324.5300000000007,0,0,0.0,0.0,0.0,0,0,0.0,1
83,5,4,1,4,51395.87,0,0,0.0,5.0,0.0,0,0,2.5,1
84,13,10,3,12,167991.44999999998,4,1,0.3333333333333333,45.0,0.0,0,0,92.5,1
85,2,1,1,1,10845.23,0,0,0.0,0.0,0.0,0,0,0.0,0
86,2,1,1,1,3508.28,0,0,0.0,0.0,0.0,0,0,0.0,0
87,3,2,1,2,22878.809999999998,0,0,0.0,0.0,0.0,0,0,0.0,1
88,3,2,1,2,27509.71,0,0,0.0,0.0,0.0,0,0,0.0,1
89,2,1,1,1,15023.8,0,0,0.0,0.0,0.0,0,0,0.0,0
90,5,3,2,4,33765.77,0,0,0.0,2.0,0.0,0,0,1.0,1
91,3,2,1,2,41348.740000000005,0,0,0.0,3.0,0.0,0,0,1.5,1
92,5,4,1,4,58852.42,1,1,0.25,45.0,0.0,0,0,62.5,1
93,5,4,1,4,64811.119999999995,1,1,0.25,45.0,0.0,0,0,62.5,1
94,3,2,1,2,23039.59,0,0,0.0,0.0,0.0,0,0,0.0,1
95,7,5,2,6,68396.64,1,0,0.16666666666666666,15.0,0.0,0,0,17.5,1
96,28,21,7,27,258286.16,3,1,0.1111111111111111,45.0,1.0,0,0,87.5,1
97,5,4,1,4,31911.719999999998,0,0,0.0,8.0,0.0,0,0,4.0,1
98,4,3,1,3,21532.51,1,0,0.3333333333333333,15.0,0.0,0,0,17.5,1
99,9,7,2,8,101769.76,1,1,0.125,48.0,0.0,0,0,64.0,1
100,11,8,3,10,103954.19,0,0,0.0,3.0,0.0,0,0,1.5,1
101,4,3,1,3,31296.56,0,0,0.0,0.0,0.0,0,0,0.0,1
102,4,3,1,3,28639.8,0,0,0.0,5.0,0.0,0,0,2.5,1
103,7,5,2,6,36149.52,1,0,0.16666666666666666,15.0,0.0,0,0,17.5,1
104,4,3,1,3,50346.03999999999,0,0,0.0,3.0,0.0,0,0,1.5,1
105,12,10,2,11,107144.75,2,2,0.18181818181818182,45.0,1.0,0,0,107.5,1
106,5,4,1,4,20649.67,1,0,0.25,23.0,1.0,0,0,26.5,1
107,5,4,1,4,44658.56,1,0,0.25,20.0,0.0,0,0,20.0,1
108,3,2,1,2,12262.2,0,0,0.0,0.0,0.0,0,0,0.0,1
109,8,5,3,7,101633.19,0,0,0.0,3.0,0.0,0,0,1.5,1
110,13,10,3,12,107831.70000000001,2,1,0.16666666666666666,45.0,0.0,0,0,72.5,1
111,4,3,1,3,21660.6,0,0,0.0,15.0,1.0,0,0,12.5,1
112,4,3,1,3,31587.219999999998,1,1,0.3333333333333333,45.0,0.0,0,0,62.5,1
113,7,5,2,6,109535.05,1,0,0.16666666666666666,15.0,0.0,0,0,17.5,1
114,3,2,1,2,13490.61,1,0,0.5,15.0,0.0,0,0,17.5,1
115,6,4,2,5,75034.70999999999,0,0,0.0,0.0,0.0,0,0,0.0,1
116,7,6,1,6,108205.74,2,2,0.3333333333333333,45.0,0.0,0,0,102.5,1
117,2,1,1,1,13869.97,0,0,0.0,0.0,0.0,0,0,0.0,0
118,3,2,1,2,23132.36,0,0,0.0,0.0,0.0,0,0,0.0,1
119,4,3,1,3,18613.22,1,1,0.3333333333333333,45.0,1.0,0,0,67.5,1
120,5,4,1,4,12355.8,0,0,0.0,5.0,0.0,0,0,2.5,1
121,33,24,9,32,370496.59,2,0,0.0625,18.0,6.0,0,0,59.0,1
122,3,2,1,2,20284.02,0,0,0.0,0.0,0.0,0,0,0.0,1
123,30,21,9,29,297751.42,4,0,0.13793103448275862,20.0,1.0,0,0,55.0,1
124,12,10,2,11,71552.62,1,0,0.09090909090909091,20.0,1.0,0,0,25.0,1
125,2,1,1,1,15791.16,1,0,1.0,15.0,0.0,0,0,17.5,0
126,11,8,3,10,98036.81,1,1,0.1,45.0,1.0,0,0,67.5,1
127,35,24,11,34,293951.38,5,2,0.14705882352941177,45.0,0.0,0,0,132.5,1
128,2,1,1,1,9676.31,0,0,0.0,0.0,0.0,0,0,0.0,0
129,11,9,2,10,107590.65,2,1,0.2,45.0,0.0,0,0,72.5,1
130,2,1,1,1,0.0,0,0,0.0,15.0,1.0,0,0,12.5,0
131,3,2,1,2,-340.2599999999984,0,0,0.0,5.0,0.0,0,0,2.5,1
132,5,4,1,4,71285.23999999999,1,0,0.25,15.0,1.0,0,0,22.5,1
133,11,8,3,10,158005.22999999998,1,1,0.1,45.0,0.0,0,0,62.5,1
134,8,6,2,7,40727.55,0,0,0.0,0.0,0.0,0,0,0.0,1
135,9,6,3,8,75220.19,0,0,0.0,20.0,2.0,0,0,20.0,1
136,15,9,6,14,220671.58000000002,1,0,0.07142857142857142,15.0,0.0,0,0,17.5,1
137,11,8,3,10,87361.23,1,0,0.1,15.0,0.0,0,0,17.5,1
138,8,5,3,7,63510.85999999999,1,0,0.14285714285714285,15.0,0.0,0,0,17.5,1
139,14,11,3,13,206707.09,3,1,0.23076923076923078,48.0,3.0,1,8,128.0,1
140,11,9,2,10,111873.89,0,0,0.0,5.0,0.0,0,0,2.5,1
141,5,3,2,4,30767.61,1,1,0.25,60.0,2.0,0,0,80.0,1
142,5,4,1,4,37043.58,1,0,0.25,15.0,0.0,0,0,17.5,1
143,20,15,5,19,187025.66999999998,4,2,0.21052631578947367,65.0,0.0,1,5,152.5,1
144,2,1,1,1,3235.55,0,0,0.0,0.0,0.0,0,0,0.0,0
145,11,9,2,10,102793.20999999999,2,0,0.2,20.0,0.0,0,0,30.0,1
146,4,3,1,3,18270.17,0,0,0.0,0.0,0.0,0,0,0.0,1
147,11,7,4,10,95512.09,1,1,0.1,55.0,0.0,2,0,77.5,1
148,8,6,2,7,59308.47,0,0,0.0,15.0,1.0,0,0,12.5,1
149,8,5,3,7,82460.2,0,0,0.0,5.0,0.0,0,0,2.5,1
150,2,1,1,1,13136.01,1,1,1.0,45.0,0.0,0,0,62.5,0
151,4,3,1,3,29338.25,0,0,0.0,15.0,1.0,0,0,12.5,1
152,9,6,3,8,102137.05,1,1,0.125,55.0,0.0,1,0,72.5,1
153,8,6,2,7,94927.84,0,0,0.0,0.0,0.0,0,0,0.0,1
154,6,5,1,5,60292.520000000004,1,0,0.2,15.0,0.0,0,0,17.5,1
155,6,5,1,5,47045.229999999996,1,1,0.2,45.0,1.0,0,0,67.5,1
156,20,14,6,19,247448.97999999998,4,1,0.21052631578947367,45.0,2.0,0,0,102.5,1
157,2,1,1,1,5759.97,1,0,1.0,15.0,0.0,0,0,17.5,0
158,16,13,3,15,185747.49,2,0,0.13333333333333333,25.0,0.0,1,0,37.5,1
159,4,3,1,3,28662.29,0,0,0.0,0.0,0.0,0,0,0.0,1
160,2,1,1,1,16154.71,0,0,0.0,0.0,0.0,0,0,0.0,0
161,2,1,1,1,0.0,0,0,0.0,5.0,0.0,0,0,2.5,0
162,2,1,1,1,4249.83,0,0,0.0,15.0,1.0,0,0,12.5,0
163,14,10,4,13,93243.91,0,0,0.0,15.0,2.0,0,0,17.5,1
164,6,5,1,5,38459.75,0,0,0.0,20.0,1.0,0,0,15.0,1
165,17,12,5,16,207076.2,2,1,0.125,45.0,1.0,0,0,77.5,1
166,13,9,4,12,168219.74,0,0,0.0,15.0,2.0,0,0,17.5,1
167,4,3,1,3,33527.54,0,0,0.0,15.0,1.0,0,0,12.5,1
168,6,4,2,5,53358.21,0,0,0.0,0.0,0.0,0,0,0.0,1
169,2,1,1,1,1094.48,0,0,0.0,0.0,0.0,0,0,0.0,0
170,11,8,3,10,93930.33,1,0,0.1,15.0,0.0,0,0,17.5,1
171,18,13,5,17,189713.32,2,1,0.11764705882352941,45.0,0.0,0,0,72.5,1
172,6,4,2,5,16765.300000000003,1,0,0.2,30.0,1.0,0,0,30.0,1
173,5,4,1,4,54465.7,1,0,0.25,15.0,0.0,0,0,17.5,1
174,5,4,1,4,56261.99,2,0,0.5,15.0,0.0,0,0,27.5,1
175,5,4,1,4,38609.770000000004,1,0,0.25,15.0,0.0,0,0,17.5,1
176,4,3,1,3,31262.56,0,0,0.0,25.0,1.0,0,0,17.5,1
177,4,2,2,3,50721.07,0,0,0.0,0.0,0.0,0,0,0.0,1
178,8,6,2,7,81006.59,1,1,0.14285714285714285,55.0,0.0,2,0,77.5,1
179,2,1,1,1,14699.01,0,0,0.0,2.0,0.0,0,0,1.0,0
180,3,2,1,2,31593.739999999998,1,1,0.5,55.0,0.0,1,0,72.5,1
181,9,6,3,8,54220.24,1,0,0.125,15.0,0.0,0,0,17.5,1
182,7,5,2,6,71952.48,1,0,0.16666666666666666,15.0,0.0,0,0,17.5,1
183,5,4,1,4,49271.99,1,1,0.25,45.0,0.0,0,0,62.5,1
184,5,4,1,4,6300.58,1,0,0.25,15.0,0.0,0,0,17.5,1
185,3,2,1,2,37429.26,0,0,0.0,0.0,0.0,0,0,0.0,1
186,8,6,2,7,78486.13,0,0,0.0,7.0,0.0,0,0,3.5,1
187,5,3,2,4,46948.270000000004,2,1,0.5,45.0,0.0,0,0,72.5,1
188,4,3,1,3,-1827.6599999999999,1,0,0.3333333333333333,20.0,0.0,0,0,20.0,1
189,10,6,4,9,91052.05,0,0,0.0,15.0,1.0,0,0,12.5,1
190,3,2,1,2,20714.97,0,0,0.0,0.0,0.0,0,0,0.0,1
191,19,14,5,18,189360.9,2,1,0.1111111111111111,45.0,2.0,0,0,82.5,1
192,4,3,1,3,5885.6799999999985,2,0,0.6666666666666666,15.0,0.0,0,0,27.5,1
193,5,3,2,4,46668.28,0,0,0.0,0.0,0.0,0,0,0.0,1
194,6,5,1,5,63254.19,1,0,0.2,15.0,0.0,0,0,17.5,1
195,7,5,2,6,70358.95999999999,1,0,0.16666666666666666,20.0,1.0,0,0,25.0,1
196,4,3,1,3,29204.02,0,0,0.0,0.0,0.0,0,0,0.0,1
197,3,2,1,2,24310.98,0,0,0.0,15.0,1.0,0,0,12.5,1
198,3,2,1,2,21840.300000000003,1,0,0.5,15.0,0.0,0,0,17.5,1
199,11,8,3,10,98148.41,1,0,0.1,15.0,0.0,0,0,17.5,1
200,7,5,2,6,72369.38,0,0,0.0,10.0,0.0,0,0,5.0,1
201,6,5,1,5,49856.17,1,0,0.2,15.0,0.0,0,0,17.5,1
202,10,7,3,9,98374.53,3,1,0.3333333333333333,45.0,0.0,0,0,82.5,1
203,9,7,2,8,75737.87,1,0,0.125,20.0,2.0,0,0,30.0,1
204,5,4,1,4,31656.35,0,0,0.0,2.0,0.0,0,0,1.0,1
205,3,2,1,2,31407.2,1,0,0.5,15.0,0.0,0,0,17.5,1
206,6,5,1,5,53360.03,0,0,0.0,20.0,2.0,0,0,20.0,1
207,9,6,3,8,115809.98,1,1,0.125,45.0,0.0,0,0,62.5,1
208,2,1,1,1,17706.6,0,0,0.0,0.0,0.0,0,0,0.0,0
209,23,16,7,22,261973.34,3,0,0.13636363636363635,15.0,1.0,0,0,42.5,1
210,13,9,4,12,81839.28,0,0,0.0,5.0,0.0,0,0,2.5,1
211,10,7,3,9,59560.65,4,2,0.4444444444444444,55.0,3.0,2,0,152.5,1
212,2,1,1,1,742.19,0,0,0.0,0.0,0.0,0,0,0.0,0
213,4,3,1,3,43567.100000000006,0,0,0.0,0.0,0.0,0,0,0.0,1
214,21,15,6,20,211945.57,0,0,0.0,3.0,0.0,0,0,1.5,1
215,5,4,1,4,49967.73,0,0,0.0,5.0,0.0,0,0,2.5,1
216,6,5,1,5,69073.65,0,0,0.0,5.0,0.0,0,0,2.5,1
217,4,3,1,3,17564.6,0,0,0.0,5.0,0.0,0,0,2.5,1
218,23,15,8,22,229497.1,2,0,0.09090909090909091,15.0,3.0,0,0,42.5,1
219,5,4,1,4,55792.74,1,0,0.25,15.0,0.0,0,0,17.5,1
220,3,2,1,2,40248.95,0,0,0.0,0.0,0.0,0,0,0.0,1
221,4,2,2,3,13912.37,0,0,0.0,0.0,0.0,0,0,0.0,1
222,4,3,1,3,55967.84,1,1,0.3333333333333333,45.0,0.0,0,0,62.5,1
223,9,6,3,8,100223.29000000001,0,0,0.0,15.0,1.0,0,0,12.5,1
224,5,4,1,4,44126.69,1,0,0.25,20.0,1.0,0,0,25.0,1
225,2,1,1,1,22425.91,0,0,0.0,0.0,0.0,0,0,0.0,0
226,7,5,2,6,24899.63,1,1,0.16666666666666666,60.0,3.0,0,0,85.0,1
227,27,20,7,26,315183.27999999997,1,1,0.038461538461538464,45.0,2.0,0,0,72.5,1
228,7,6,1,6,48956.75,0,0,0.0,20.0,1.0,0,0,15.0,1
229,31,23,8,30,353188.8,5,2,0.16666666666666666,45.0,3.0,0,0,147.5,1
230,11,8,3,10,70266.09,0,0,0.0,5.0,0.0,0,0,2.5,1
231,16,12,4,15,124251.86,2,1,0.13333333333333333,45.0,0.0,0,0,72.5,1
232,4,3,1,3,26505.97,0,0,0.0,0.0,0.0,0,0,0.0,1
233,3,2,1,2,3424.3999999999996,0,0,0.0,0.0,0.0,0,0,0.0,1
234,3,2,1,2,21971.85,0,0,0.0,0.0,0.0,0,0,0.0,1
235,29,22,7,28,316458.19,5,1,0.17857142857142858,50.0,0.0,0,0,105.0,1
236,19,14,5,18,229156.96,2,0,0.1111111111111111,15.0,0.0,0,0,27.5,1
237,36,28,8,35,283657.03,6,3,0.17142857142857143,65.0,1.0,2,7,218.5,1
238,5,4,1,4,62225.770000000004,0,0,0.0,3.0,0.0,0,0,1.5,1
239,3,2,1,2,17095.65,0,0,0.0,0.0,0.0,0,0,0.0,1
240,12,9,3,11,120814.69,1,1,0.09090909090909091,45.0,1.0,0,0,67.5,1
241,22,16,6,21,263111.91,1,1,0.047619047619047616,45.0,3.0,0,0,77.5,1
242,3,2,1,2,18651.02,1,1,0.5,45.0,0.0,0,0,62.5,1
243,7,5,2,6,79414.07,1,1,0.16666666666666666,55.0,2.0,1,0,82.5,1
244,2,1,1,1,16988.04,0,0,0.0,2.0,0.0,0,0,1.0,0
245,11,8,3,10,119014.78,2,0,0.2,25.0,4.0,2,0,62.5,1
246,2,1,1,1,2073.48,0,0,0.0,0.0,0.0,0,0,0.0,0
247,2,1,1,1,7957.06,0,0,0.0,0.0,0.0,0,0,0.0,0
248,5,4,1,4,35023.23,0,0,0.0,2.0,0.0,0,0,1.0,1
249,4,3,1,3,19828.309999999998,0,0,0.0,0.0,0.0,0,0,0.0,1
250,31,24,7,30,204765.58000000002,5,3,0.16666666666666666,55.0,0.0,0,7,188.5,1
251,13,11,2,12,150075.22,2,1,0.16666666666666666,65.0,0.0,1,7,108.5,1
252,3,2,1,2,12406.83,0,0,0.0,0.0,0.0,0,0,0.0,1
253,15,11,4,14,150398.89,2,0,0.14285714285714285,20.0,1.0,0,0,35.0,1
254,5,3,2,4,47049.31,0,0,0.0,2.0,0.0,0,0,1.0,1
255,3,2,1,2,22094.760000000002,1,1,0.5,45.0,0.0,0,0,62.5,1
256,3,2,1,2,34553.11,0,0,0.0,0.0,0.0,0,0,0.0,1
257,25,19,6,24,220780.62,2,0,0.08333333333333333,15.0,1.0,0,0,32.5,1
258,18,13,5,17,187878.27,4,1,0.23529411764705882,45.0,3.0,0,0,107.5,1
259,7,5,2,6,48643.060000000005,0,0,0.0,15.0,2.0,0,0,17.5,1
260,3,2,1,2,34033.82,0,0,0.0,2.0,0.0,0,0,1.0,1
261,10,5,5,9,116771.79000000001,2,2,0.2222222222222222,55.0,1.0,2,0,122.5,1
262,3,2,1,2,8321.18,0,0,0.0,0.0,0.0,0,0,0.0,1
263,9,7,2,8,35488.630000000005,2,1,0.25,45.0,0.0,0,0,72.5,1
264,4,3,1,3,40929.7,0,0,0.0,0.0,0.0,0,0,0.0,1
265,7,6,1,6,72350.64,0,0,0.0,15.0,1.0,0,0,12.5,1
266,2,1,1,1,13765.26,0,0,0.0,0.0,0.0,0,0,0.0,0
267,4,3,1,3,10842.52,0,0,0.0,5.0,0.0,0,0,2.5,1
268,12,7,5,11,88436.17,3,2,0.2727272727272727,45.0,0.0,0,0,112.5,1
269,4,3,1,3,26282.94,0,0,0.0,0.0,0.0,0,0,0.0,1
270,4,3,1,3,29956.629999999997,0,0,0.0,15.0,1.0,0,0,12.5,1
271,5,4,1,4,30660.33,0,0,0.0,5.0,0.0,0,0,2.5,1
272,3,2,1,2,44503.61,0,0,0.0,0.0,0.0,0,0,0.0,1
273,4,3,1,3,19144.5,0,0,0.0,5.0,0.0,0,0,2.5,1
274,12,9,3,11,104372.57,2,0,0.18181818181818182,15.0,0.0,0,0,27.5,1
275,2,1,1,1,6476.91,1,1,1.0,45.0,0.0,0,0,62.5,0
276,8,6,2,7,89126.7,2,0,0.2857142857142857,20.0,0.0,0,0,30.0,1
277,11,8,3,10,169622.83000000002,1,0,0.1,30.0,0.0,3,0,40.0,1
278,10,8,2,9,114901.27,2,1,0.2222222222222222,45.0,1.0,0,0,77.5,1
279,37,27,10,36,435981.67,6,1,0.16666666666666666,45.0,0.0,0,0,112.5,1
280,9,7,2,8,82970.83,0,0,0.0,5.0,0.0,0,0,2.5,1
281,17,13,4,16,128399.09,1,0,0.0625,20.0,1.0,0,0,25.0,1
282,13,10,3,12,101819.56,3,2,0.25,50.0,0.0,0,0,115.0,1
283,9,7,2,8,118279.58,2,1,0.25,48.0,0.0,0,0,74.0,1
284,4,2,2,3,46900.25,1,0,0.3333333333333333,15.0,0.0,0,0,17.5,1
285,6,4,2,5,52108.37,0,0,0.0,0.0,0.0,0,0,0.0,1
286,10,7,3,9,91845.29000000001,0,0,0.0,15.0,1.0,0,0,12.5,1
287,14,11,3,13,99569.11,1,1,0.07692307692307693,45.0,1.0,0,0,67.5,1
288,2,1,1,1,22612.8,1,1,1.0,45.0,0.0,0,0,62.5,0
289,3,2,1,2,22897.18,0,0,0.0,0.0,0.0,0,0,0.0,1
290,32,23,9,31,396132.68,5,3,0.16129032258064516,48.0,3.0,0,0,179.0,1
291,7,5,2,6,62663.17,1,1,0.16666666666666666,45.0,0.0,0,0,62.5,1
292,4,3,1,3,8421.22,0,0,0.0,5.0,0.0,0,0,2.5,1
293,6,4,2,5,77505.83,2,2,0.4,48.0,0.0,0,0,104.0,1
294,3,2,1,2,17745.52,0,0,0.0,0.0,0.0,0,0,0.0,1
295,15,12,3,14,128299.88,1,0,0.07142857142857142,15.0,0.0,0,0,17.5,1
296,15,11,4,14,190064.88,0,0,0.0,0.0,0.0,0,0,0.0,1
297,6,4,2,5,52480.64,0,0,0.0,0.0,0.0,0,0,0.0,1
298,5,4,1,4,48956.509999999995,1,0,0.25,15.0,0.0,0,0,17.5,1
299,4,3,1,3,35277.47,0,0,0.0,0.0,0.0,0,0,0.0,1
300,5,4,1,4,58845.86,1,0,0.25,15.0,1.0,0,0,22.5,1
301,18,12,6,17,215816.77000000002,1,1,0.058823529411764705,45.0,0.0,0,0,62.5,1
302,3,2,1,2,34710.270000000004,0,0,0.0,0.0,0.0,0,0,0.0,1
303,3,2,1,2,39758.51,0,0,0.0,3.0,0.0,0,0,1.5,1
304,4,3,1,3,32360.510000000002,0,0,0.0,5.0,0.0,0,0,2.5,1
305,27,20,7,26,229539.37,3,0,0.11538461538461539,15.0,3.0,0,0,52.5,1
306,2,1,1,1,20026.51,0,0,0.0,0.0,0.0,0,0,0.0,0
307,14,10,4,13,114153.78,2,0,0.15384615384615385,25.0,0.0,1,0,37.5,1
308,3,2,1,2,15211.36,0,0,0.0,0.0,0.0,0,0,0.0,1
309,2,1,1,1,13666.0,0,0,0.0,0.0,0.0,0,0,0.0,0
310,3,2,1,2,26026.6,0,0,0.0,0.0,0.0,0,0,0.0,1
311,4,3,1,3,46458.83,2,1,0.6666666666666666,50.0,0.0,0,0,75.0,1
312,4,3,1,3,20684.57,1,1,0.3333333333333333,45.0,0.0,0,0,62.5,1
313,6,4,2,5,37082.68,1,1,0.2,45.0,0.0,0,0,62.5,1
314,42,31,11,41,494059.42,4,3,0.0975609756097561,55.0,0.0,1,0,162.5,1
315,4,3,1,3,13660.61,0,0,0.0,0.0,0.0,0,0,0.0,1
316,5,3,2,4,47599.72,0,0,0.0,5.0,0.0,0,0,2.5,1
317,7,5,2,6,89007.64,2,1,0.3333333333333333,45.0,0.0,0,0,72.5,1
318,5,4,1,4,65778.41,0,0,0.0,0.0,0.0,0,0,0.0,1
319,6,4,2,5,57119.23,1,1,0.2,45.0,0.0,0,0,62.5,1
320,4,3,1,3,5187.33,0,0,0.0,15.0,1.0,0,0,12.5,1
