merchant_id,merchant_name,merchant_category_final,transaction_count,transaction_value,average_transaction_value,chargeback_transactions,fraud_chargeback_transactions,high_risk_transactions,risky_status_transactions,high_chargeback_merchant_transactions,chargeback_ratio,fraud_chargeback_ratio,high_risk_transaction_ratio
MCH1410,,,1,8558.62,8558.62,1,0,0,0,0,1.0,0.0,0.0
MCH1443,Swamy PLC,MISC_RETAIL,1,24818.19,24818.19,1,0,0,0,0,1.0,0.0,0.0
MCH1515,"MALL, KARA AND SASTRY",APPAREL,1,15231.92,15231.92,1,0,0,0,0,1.0,0.0,0.0
MCH1518,Saini-Gole,OTHER,1,15387.54,15387.54,1,1,1,0,0,1.0,1.0,1.0
MCH1522,Mody Inc,PHARMACY,1,9496.87,9496.87,1,0,0,0,0,1.0,0.0,0.0
MCH1559,,,1,0.0,,1,0,0,0,0,1.0,0.0,0.0
MCH1766,,,1,21358.15,21358.15,1,0,0,0,0,1.0,0.0,0.0
MCH1772,Grover Group,DEPARTMENT STORE,1,23851.74,23851.74,1,0,0,0,0,1.0,0.0,0.0
MCH1778,,,1,5298.78,5298.78,1,1,1,0,0,1.0,1.0,1.0
MCH1783,,,1,13149.46,13149.46,1,0,0,0,0,1.0,0.0,0.0
MCH1849,,,1,15803.23,15803.23,1,0,0,0,0,1.0,0.0,0.0
MCH1855,Kala-Shan,FOOD_SERVICES,1,20529.94,20529.94,1,0,0,0,0,1.0,0.0,0.0
MCH1858,,,1,8994.98,8994.98,1,0,0,0,0,1.0,0.0,0.0
MCH1900,,,1,9852.67,9852.67,1,0,0,0,0,1.0,0.0,0.0
MCH1905,,,1,17337.94,17337.94,1,1,1,0,0,1.0,1.0,1.0
MCH1942,,,1,5436.71,5436.71,1,1,1,0,0,1.0,1.0,1.0
MCH1951,,,1,9600.51,9600.51,1,0,0,0,0,1.0,0.0,0.0
MCH1966,Munshi-Bath,TRAVEL,1,17962.97,17962.97,1,0,0,0,0,1.0,0.0,0.0
MCH1967,,,1,359.4,359.4,1,0,0,0,0,1.0,0.0,0.0
MCH2000,,,1,7883.25,7883.25,1,0,0,0,0,1.0,0.0,0.0
MCH2012,,,1,14939.0,14939.0,1,0,0,0,0,1.0,0.0,0.0
MCH2031,,,1,20254.73,20254.73,1,1,1,0,0,1.0,1.0,1.0
MCH2088,,,1,6558.25,6558.25,1,0,0,0,0,1.0,0.0,0.0
MCH2111,Dubey-Oommen,HOTEL_LODGING,1,23856.92,23856.92,1,1,1,0,0,1.0,1.0,1.0
MCH2117,Lal Group,HOTEL_LODGING,1,13621.76,13621.76,1,1,1,0,0,1.0,1.0,1.0
MCH2121,,,1,7358.75,7358.75,1,0,0,0,0,1.0,0.0,0.0
MCH2143,,,1,22755.8,22755.8,1,1,1,0,0,1.0,1.0,1.0
MCH2151,,,1,9770.15,9770.15,1,1,1,0,0,1.0,1.0,1.0
MCH2164,,,1,9505.2,9505.2,1,0,0,0,0,1.0,0.0,0.0
MCH2180,Chaudry-Sidhu,APPAREL,1,0.0,,1,1,1,0,0,1.0,1.0,1.0
MCH2213,"Dash,SoniandPalla",HOTEL_LODGING,1,6476.91,6476.91,1,1,1,0,0,1.0,1.0,1.0
MCH2223,"Magar, Krishnamurthy and Maharaj",BOOKS,1,0.0,,1,0,0,0,0,1.0,0.0,0.0
MCH2252,,,1,19676.53,19676.53,1,0,0,0,0,1.0,0.0,0.0
MCH2255,  Lal Ltd  ,DEPARTMENT STORE,1,15749.22,15749.22,1,1,1,0,0,1.0,1.0,1.0
MCH2262,,,1,13017.81,13017.81,1,1,1,0,0,1.0,1.0,1.0
MCH2334,,,1,8344.14,8344.14,1,1,1,0,0,1.0,1.0,1.0
MCH2340,,,1,0.0,,1,0,0,0,0,1.0,0.0,0.0
MCH2420,,,1,7882.06,7882.06,1,1,1,0,0,1.0,1.0,1.0
MCH2422,SAMPATH-BALASUBRAMANIAN,PHONE SERVICE,1,22934.55,22934.55,1,1,1,0,0,1.0,1.0,1.0
MCH2429,,,1,6997.24,6997.24,1,1,1,0,0,1.0,1.0,1.0
MCH2441,bhatnagar plc,PHONE SERVICE,1,0.0,,1,1,1,0,0,1.0,1.0,1.0
MCH2443,,,1,-12552.44,-12552.44,1,1,1,0,0,1.0,1.0,1.0
MCH2459,Gala and Sons,TRANSPORT,1,20979.1,20979.1,1,1,1,0,0,1.0,1.0,1.0
MCH2524,,,1,0.0,,1,1,1,0,0,1.0,1.0,1.0
MCH2530,bal-sant,MISC_RETAIL,1,24140.59,24140.59,1,0,0,0,0,1.0,0.0,0.0
MCH2588,datta inc,APPAREL,1,23576.09,23576.09,1,0,0,0,0,1.0,0.0,0.0
MCH2613,"Grewal, Gade and Bhattacharyya",MOBILE RECHARGE,1,12137.41,12137.41,1,0,0,0,0,1.0,0.0,0.0
MCH2615,,,1,0.0,,1,0,0,0,0,1.0,0.0,0.0
MCH2623,"Oak, Nadig and Doshi",GROCERY,1,19253.06,19253.06,1,0,0,0,0,1.0,0.0,0.0
MCH2655,"Brahmbhatt, Desai and Sangha",TELECOM,1,13039.21,13039.21,1,0,0,0,0,1.0,0.0,0.0
MCH2674,nair llc,TRANSPORT,1,8506.71,8506.71,1,1,1,0,0,1.0,1.0,1.0
MCH2684,  Barad-Jaggi  ,BOOKS,1,24194.18,24194.18,1,0,0,0,0,1.0,0.0,0.0
MCH2797,Sandhu-Singh,HOTEL_LODGING,1,9912.97,9912.97,1,0,0,0,0,1.0,0.0,0.0
MCH2871,,,1,5142.15,5142.15,1,1,1,0,0,1.0,1.0,1.0
MCH2872,,,1,12292.04,12292.04,1,0,0,0,0,1.0,0.0,0.0
MCH2888,Chahal LLC,PHARMACY,1,3162.13,3162.13,1,0,0,0,0,1.0,0.0,0.0
MCH2926,Sule-Thaker,STATIONERY,1,24666.12,24666.12,1,0,0,0,0,1.0,0.0,0.0
MCH2941,SenGroup,DEPARTMENT STORE,1,6058.13,6058.13,1,0,0,0,0,1.0,0.0,0.0
MCH2960,Malhotra-Buch,TRANSPORT,1,14827.93,14827.93,1,0,0,0,0,1.0,0.0,0.0
MCH2997,Mohanty Ltd,HOTEL_LODGING,1,20319.2,20319.2,1,0,0,0,0,1.0,0.0,0.0
MCH3038,,,1,23679.35,23679.35,1,1,1,0,0,1.0,1.0,1.0
MCH3106,,,1,17722.05,17722.05,1,0,0,0,0,1.0,0.0,0.0
MCH3159,,,1,5930.83,5930.83,1,1,1,0,0,1.0,1.0,1.0
MCH3164,,,1,9176.29,9176.29,1,0,0,0,0,1.0,0.0,0.0
MCH3171,,,1,16342.48,16342.48,1,0,0,0,0,1.0,0.0,0.0
MCH3199,,,1,9741.23,9741.23,1,0,0,0,0,1.0,0.0,0.0
MCH3201,BAHL AND SONS,BOOKS,1,22538.13,22538.13,1,1,1,0,0,1.0,1.0,1.0
MCH3249,,,1,2212.67,2212.67,1,1,1,0,0,1.0,1.0,1.0
MCH3265,Mittal Ltd,BOOKS,1,14260.28,14260.28,1,1,1,0,0,1.0,1.0,1.0
MCH3295,,,1,20095.76,20095.76,1,1,1,0,0,1.0,1.0,1.0
MCH3366,,,1,20034.79,20034.79,1,0,0,0,0,1.0,0.0,0.0
MCH3410,Mutti PLC,HOTEL_LODGING,1,-22219.81,-22219.81,1,0,0,0,0,1.0,0.0,0.0
MCH3442,Kuruvilla Ltd,GROCERY,1,0.0,,1,1,1,0,0,1.0,1.0,1.0
MCH3512,"  Bhatti, Khosla and Chhabra  ",PHONE SERVICE,1,9812.18,9812.18,1,1,1,0,0,1.0,1.0,1.0
MCH3513,"Gade, Raghavan and Ben",STATIONERY,1,22350.8,22350.8,1,1,1,1,0,1.0,1.0,1.0
MCH3562,,,1,22734.91,22734.91,1,1,1,0,0,1.0,1.0,1.0
MCH3598,Kapur-Sahni,PHONE SERVICE,1,4050.17,4050.17,1,0,0,0,0,1.0,0.0,0.0
MCH3632,,,1,-18940.17,-18940.17,1,0,0,0,0,1.0,0.0,0.0
MCH3637,Pai-Parikh,FOOD_SERVICES,1,15086.66,15086.66,1,1,1,0,0,1.0,1.0,1.0
MCH3662,Dalal-Arora,TELECOM,1,21535.45,21535.45,1,1,1,0,0,1.0,1.0,1.0
MCH3712,  Narain-Vaidya  ,HOTEL_LODGING,1,2100.75,2100.75,1,1,1,0,0,1.0,1.0,1.0
MCH3809,,,1,1071.35,1071.35,1,1,1,0,0,1.0,1.0,1.0
MCH3818,Gopal-Khalsa,TELECOM,1,6455.91,6455.91,1,0,0,0,0,1.0,0.0,0.0
MCH3848,,,1,17911.11,17911.11,1,0,0,0,0,1.0,0.0,0.0
MCH3866,,,1,9274.06,9274.06,1,0,0,0,0,1.0,0.0,0.0
MCH3890,Tata-Bal,PHARMACY,1,15451.78,15451.78,1,1,1,0,0,1.0,1.0,1.0
MCH3899,  Goswami-Bath  ,TRANSPORT,1,11805.47,11805.47,1,0,0,0,0,1.0,0.0,0.0
MCH3910,,,1,21278.79,21278.79,1,0,0,0,0,1.0,0.0,0.0
MCH3942,,,1,5552.27,5552.27,1,0,0,0,0,1.0,0.0,0.0
MCH3972,,,1,4850.57,4850.57,1,0,0,0,0,1.0,0.0,0.0
MCH4066,Swaminathan and Sons,DEPARTMENT STORE,1,430.66,430.66,1,0,0,0,0,1.0,0.0,0.0
MCH4150,,,1,24160.27,24160.27,1,0,0,0,0,1.0,0.0,0.0
MCH4188,,,1,-14973.35,-14973.35,1,0,0,0,0,1.0,0.0,0.0
MCH4223,"Bajwa, Khurana and Sinha",RETAIL,1,15791.16,15791.16,1,0,0,0,0,1.0,0.0,0.0
MCH4272,,,1,12845.7,12845.7,1,0,0,0,0,1.0,0.0,0.0
MCH4306,"Narula, Hegde and Minhas",GROCERY,1,7631.84,7631.84,1,1,1,0,0,1.0,1.0,1.0
MCH4322,Patla PLC,TELECOM,1,4096.46,4096.46,1,0,0,0,0,1.0,0.0,0.0
MCH4331,"Wali, Buch and Nagi",APPAREL,1,-1686.67,-1686.67,1,1,1,1,0,1.0,1.0,1.0
MCH4362,Sura LLC,HOTEL_LODGING,1,8818.59,8818.59,1,0,0,0,0,1.0,0.0,0.0
MCH4537,,,1,5829.65,5829.65,1,0,0,0,0,1.0,0.0,0.0
MCH4560,Shankar Ltd,TELECOM,1,839.58,839.58,1,1,1,0,0,1.0,1.0,1.0
MCH4598,,,1,3472.3,3472.3,1,0,0,0,0,1.0,0.0,0.0
MCH4667,Kapur-Gara,FOOD_SERVICES,1,0.0,,1,0,0,0,0,1.0,0.0,0.0
MCH4679,,,1,24596.14,24596.14,1,1,1,0,0,1.0,1.0,1.0
MCH4682,Chaudry LLC,TRANSPORT,1,24649.5,24649.5,1,0,0,0,0,1.0,0.0,0.0
MCH4699,Setty Inc,HOTEL_LODGING,1,9339.0,9339.0,1,0,0,0,0,1.0,0.0,0.0
MCH4705,,,1,19008.09,19008.09,1,0,0,0,0,1.0,0.0,0.0
MCH4750,,,1,6010.76,6010.76,1,1,1,0,0,1.0,1.0,1.0
MCH4788,,,1,23025.65,23025.65,1,1,1,0,0,1.0,1.0,1.0
MCH4830,,,1,8028.16,8028.16,1,0,0,0,0,1.0,0.0,0.0
MCH5007,,,1,4756.47,4756.47,1,0,0,0,0,1.0,0.0,0.0
MCH5043,"Chakraborty, Gour and Kothari",TRAVEL,1,21237.67,21237.67,1,0,0,0,0,1.0,0.0,0.0
MCH5106,LUTHRA LLC,STATIONERY,1,4796.12,4796.12,1,0,0,0,0,1.0,0.0,0.0
MCH5128,,,1,12855.63,12855.63,1,0,0,0,0,1.0,0.0,0.0
MCH5215,Tank-Golla,MISC_RETAIL,1,237.26,237.26,1,0,0,0,0,1.0,0.0,0.0
MCH5222,"Char, Warrior and Cherian",APPAREL,1,16389.35,16389.35,1,1,1,0,0,1.0,1.0,1.0
MCH5241,,,1,14888.67,14888.67,1,1,1,0,0,1.0,1.0,1.0
MCH5263,"Narang, Kata and Pillai",DEPARTMENT STORE,1,0.0,,1,1,1,0,0,1.0,1.0,1.0
MCH5267,,,1,13288.19,13288.19,1,0,0,0,0,1.0,0.0,0.0
MCH5286,,,1,6873.18,6873.18,1,1,1,0,0,1.0,1.0,1.0
MCH5294,Bhakta Group,TELECOM,1,1436.91,1436.91,1,0,0,0,0,1.0,0.0,0.0
MCH5307,"Balan, Varughese and Dave",FOOD_SERVICES,1,8883.82,8883.82,1,1,1,0,0,1.0,1.0,1.0
MCH5326,,,1,15287.43,15287.43,1,0,0,0,0,1.0,0.0,0.0
MCH5330,,,1,0.0,,1,1,1,0,0,1.0,1.0,1.0
MCH5339,"vaidya, hari and mistry",OTHER,1,6956.17,6956.17,1,0,0,0,0,1.0,0.0,0.0
MCH5457,  Deol PLC  ,BOOKS,1,24511.97,24511.97,1,0,0,0,0,1.0,0.0,0.0
MCH5459,Sachdev Ltd,APPAREL,1,19161.02,19161.02,1,1,1,0,0,1.0,1.0,1.0
MCH5495,,,1,21842.11,21842.11,1,0,0,0,0,1.0,0.0,0.0
MCH5528,"Bhagat, Sathe and Iyengar",GROCERY,1,9825.71,9825.71,1,0,0,0,0,1.0,0.0,0.0
MCH5531,"Dhingra, Sangha and Sidhu",GROCERY,1,0.0,,1,0,0,0,0,1.0,0.0,0.0
MCH5598,"Thakur, Verma and Venkataraman",PHARMACY,1,19705.72,19705.72,1,0,0,0,0,1.0,0.0,0.0
MCH5623,,,1,0.0,,1,1,1,0,0,1.0,1.0,1.0
MCH5644,Prabhu-Chaudhry,APPAREL,1,0.0,,1,0,0,0,0,1.0,0.0,0.0
MCH5705,MUKHOPADHYAY AND SONS,APPAREL,1,1698.2,1698.2,1,1,1,0,0,1.0,1.0,1.0
MCH5712,Goda-Kashyap,BOOKS,1,13221.13,13221.13,1,0,0,0,0,1.0,0.0,0.0
MCH5744,Dalal-Lall,HOTEL_LODGING,1,7505.55,7505.55,1,1,1,0,0,1.0,1.0,1.0
MCH5762,Hayre and Sons,BOOKS,1,20449.69,20449.69,1,0,0,0,0,1.0,0.0,0.0
MCH5764,,,1,13117.73,13117.73,1,1,1,0,0,1.0,1.0,1.0
MCH5765,Murty Inc,TRANSPORT,1,18653.66,18653.66,1,0,0,0,0,1.0,0.0,0.0
MCH5767,pandya inc,TELECOM,1,6075.45,6075.45,1,0,0,0,0,1.0,0.0,0.0
MCH5815,,,1,19969.87,19969.87,1,1,1,0,0,1.0,1.0,1.0
MCH5825,Bhardwaj-Sachdeva,STATIONERY,1,8264.89,8264.89,1,1,1,0,0,1.0,1.0,1.0
MCH5863,,,1,0.0,,1,0,0,0,0,1.0,0.0,0.0
MCH5896,Kale Group,BOOKS,1,22873.0,22873.0,1,0,0,0,0,1.0,0.0,0.0
MCH5932,Jani-Sathe,TELECOM,1,21312.45,21312.45,1,1,1,1,0,1.0,1.0,1.0
MCH5965,Wason LLC,PHONE SERVICE,1,11211.49,11211.49,1,0,0,0,0,1.0,0.0,0.0
MCH5968,"SOMAN, ISSAC AND GOSWAMI",DEPARTMENT STORE,1,12052.46,12052.46,1,1,1,0,0,1.0,1.0,1.0
MCH6040,,,1,1598.32,1598.32,1,1,1,0,0,1.0,1.0,1.0
MCH6079,"Chaudhuri, Mody and Goswami",MEDICAL_STORE,1,3565.73,3565.73,1,1,1,0,0,1.0,1.0,1.0
MCH6086,,,1,23204.02,23204.02,1,0,0,0,0,1.0,0.0,0.0
MCH6106,,,1,10229.09,10229.09,1,0,0,0,0,1.0,0.0,0.0
MCH6132,,,1,3809.97,3809.97,1,0,0,0,0,1.0,0.0,0.0
MCH6169,,,1,20146.04,20146.04,1,1,1,0,0,1.0,1.0,1.0
MCH6200,"Sen, Walla and Bath",MISC_RETAIL,1,12749.14,12749.14,1,1,1,0,0,1.0,1.0,1.0
MCH6254,MURTHY GROUP,TELECOM,1,24731.51,24731.51,1,0,0,0,0,1.0,0.0,0.0
MCH6268,"yogi, sachar and mammen",GROCERY,1,17795.95,17795.95,1,0,0,0,0,1.0,0.0,0.0
MCH6278,"Keer, Sha and Sama",MEDICAL,1,4380.29,4380.29,1,0,0,0,0,1.0,0.0,0.0
MCH6306,"RAMESH, VISWANATHAN AND KALITA",TRANSPORT,1,8718.9,8718.9,1,0,0,0,0,1.0,0.0,0.0
MCH6365,Bora-Sood,DEPARTMENT STORE,1,23854.3,23854.3,1,0,0,0,0,1.0,0.0,0.0
MCH6367,,,1,0.0,,1,1,1,0,0,1.0,1.0,1.0
MCH6385,,,1,20189.71,20189.71,1,0,0,0,0,1.0,0.0,0.0
MCH6439,,,1,0.0,,1,0,0,0,0,1.0,0.0,0.0
MCH6445,Shere and Sons,MEDICAL,1,24135.06,24135.06,1,1,1,0,0,1.0,1.0,1.0
MCH6447,Kant-Tella,HOTEL_LODGING,1,24415.67,24415.67,1,0,0,0,0,1.0,0.0,0.0
MCH6502,Mall PLC,MISC_RETAIL,1,45.69,45.69,1,1,1,1,0,1.0,1.0,1.0
MCH6583,"Iyengar, Puri and Tiwari",DEPARTMENT STORE,1,17735.93,17735.93,1,0,0,1,0,1.0,0.0,0.0
MCH6724,,,1,12364.33,12364.33,1,0,0,0,0,1.0,0.0,0.0
MCH6728,,,1,8998.29,8998.29,1,0,0,0,0,1.0,0.0,0.0
MCH6754,,,1,0.0,,1,0,0,0,0,1.0,0.0,0.0
MCH6835,,,1,4077.1,4077.1,1,1,1,0,0,1.0,1.0,1.0
MCH6888,,,1,8749.08,8749.08,1,0,0,0,0,1.0,0.0,0.0
MCH6903,sanghvi-suresh,MEDICAL,1,0.0,,1,1,1,0,0,1.0,1.0,1.0
MCH6933,,,1,15459.27,15459.27,1,0,0,0,0,1.0,0.0,0.0
MCH6947,Sen LLC,MEDICAL,1,5759.97,5759.97,1,0,0,0,0,1.0,0.0,0.0
MCH6969,,,1,20562.33,20562.33,1,0,0,0,0,1.0,0.0,0.0
MCH6994,,,1,18650.46,18650.46,1,1,1,0,0,1.0,1.0,1.0
MCH7006,,,1,5283.06,5283.06,1,1,1,0,0,1.0,1.0,1.0
MCH7014,,,1,19364.19,19364.19,1,1,1,0,0,1.0,1.0,1.0
MCH7083,,,1,16708.64,16708.64,1,0,0,0,0,1.0,0.0,0.0
MCH7097,,,1,2106.0,2106.0,1,1,1,0,0,1.0,1.0,1.0
MCH7105,"Banerjee, Kurian and Bhatt",APPAREL,1,13083.67,13083.67,1,0,0,0,0,1.0,0.0,0.0
MCH7133,DinInc,GROCERY,1,12522.63,12522.63,1,1,1,1,0,1.0,1.0,1.0
MCH7145,Ratti and Sons,GROCERY,1,12599.3,12599.3,1,1,1,0,0,1.0,1.0,1.0
MCH7194,Shan and S0ns,TRANSPORT,1,18138.05,18138.05,1,0,0,0,0,1.0,0.0,0.0
MCH7196,Kurian-Trivedi,TELECOM,1,23532.84,23532.84,1,0,0,0,0,1.0,0.0,0.0
MCH7205,Dara PLC,PHARMACY,1,24940.73,24940.73,1,0,0,0,0,1.0,0.0,0.0
MCH7233,Arora LLC,APPAREL,1,10203.04,10203.04,1,0,0,0,0,1.0,0.0,0.0
MCH7248,Rajagopalan Group,HOTEL_LODGING,1,15719.49,15719.49,1,0,0,0,0,1.0,0.0,0.0
MCH7384,Seshadri-Rai,TELECOM,1,16112.7,16112.7,1,1,1,0,0,1.0,1.0,1.0
MCH7402,,,1,21216.21,21216.21,1,0,0,0,0,1.0,0.0,0.0
MCH7416,,,1,4797.91,4797.91,1,0,0,0,0,1.0,0.0,0.0
MCH7432,Agate PLC,FOOD_SERVICES,1,13041.28,13041.28,1,0,0,0,0,1.0,0.0,0.0
MCH7530,,,1,0.0,,1,0,0,0,0,1.0,0.0,0.0
MCH7537,,,1,1881.65,1881.65,1,1,1,0,0,1.0,1.0,1.0
MCH7550,,,1,24934.55,24934.55,1,0,0,0,0,1.0,0.0,0.0
MCH7552,SOM AND SONS,TELECOM,1,21553.48,21553.48,1,0,0,0,0,1.0,0.0,0.0
MCH7579,,,1,24540.45,24540.45,1,1,1,0,0,1.0,1.0,1.0
MCH7644,Mital PLC,HOTEL_LODGING,1,1965.27,1965.27,1,0,0,0,0,1.0,0.0,0.0
MCH7662,,,1,2976.54,2976.54,1,0,0,0,0,1.0,0.0,0.0
MCH7695,,,1,22647.18,22647.18,1,0,0,0,0,1.0,0.0,0.0
MCH7790,Barman-Roy,BOOKS,1,12056.21,12056.21,1,0,0,0,0,1.0,0.0,0.0
MCH7890,contractor plc,HOTEL_LODGING,1,19497.67,19497.67,1,1,1,1,0,1.0,1.0,1.0
MCH7896,Samra LLC,HOTEL_LODGING,1,4328.77,4328.77,1,1,1,0,0,1.0,1.0,1.0
MCH7902,deol inc,TRANSPORT,1,10191.82,10191.82,1,1,1,0,0,1.0,1.0,1.0
MCH7911,,,1,24378.11,24378.11,1,1,1,0,0,1.0,1.0,1.0
MCH7917,Parsa-Madan,GROCERY,1,18283.95,18283.95,1,0,0,1,0,1.0,0.0,0.0
MCH7994,,,1,13136.01,13136.01,1,1,1,0,0,1.0,1.0,1.0
MCH8006,,,1,22878.31,22878.31,1,1,1,0,0,1.0,1.0,1.0
MCH8044,"Sant, Nadkarni and Rajan",DEPARTMENT STORE,1,8387.23,8387.23,1,1,1,0,0,1.0,1.0,1.0
MCH8053,CHHABRA INC,TELECOM,1,0.0,,1,1,1,0,0,1.0,1.0,1.0
MCH8102,,,1,9701.65,9701.65,1,1,1,0,0,1.0,1.0,1.0
MCH8114,"raman, sandal and bedi",PHONE SERVICE,1,6732.15,6732.15,1,0,0,0,0,1.0,0.0,0.0
MCH8177,Soman Inc,FOOD_SERVICES,1,7842.13,7842.13,1,1,1,0,0,1.0,1.0,1.0
MCH8188,"ram, krish and pai",MISC_RETAIL,1,16390.09,16390.09,1,1,1,0,0,1.0,1.0,1.0
MCH8279,Lala PLC,GROCERY,1,8602.12,8602.12,1,1,1,0,0,1.0,1.0,1.0
MCH8287,,,1,23990.21,23990.21,1,0,0,0,0,1.0,0.0,0.0
MCH8288,,,1,0.0,,1,0,0,0,0,1.0,0.0,0.0
MCH8292,,,1,16262.64,16262.64,1,1,1,0,0,1.0,1.0,1.0
MCH8304,,,1,10979.9,10979.9,1,0,0,0,0,1.0,0.0,0.0
MCH8322,,,1,16348.58,16348.58,1,1,1,0,0,1.0,1.0,1.0
MCH8351,,,1,14141.15,14141.15,1,1,1,0,0,1.0,1.0,1.0
MCH8409,"Dua, Naidu and Agate",TRAVEL,1,18927.3,18927.3,1,1,1,0,0,1.0,1.0,1.0
MCH8426,,,1,3280.53,3280.53,1,0,0,0,0,1.0,0.0,0.0
MCH8509,"Majumdar, Deshpande and Solanki",DEPARTMENT STORE,1,12504.59,12504.59,1,0,0,0,0,1.0,0.0,0.0
MCH8565,"MAMMEN, MODI AND SANKAR",FOOD_SERVICES,1,6985.47,6985.47,1,0,0,0,0,1.0,0.0,0.0
MCH8567,,,1,2773.37,2773.37,1,1,1,0,0,1.0,1.0,1.0
MCH8612,KURIAN-GODA,FOOD_SERVICES,1,0.0,,1,0,0,0,0,1.0,0.0,0.0
MCH8735,"Chhabra, Kunda and Sem",PHONE SERVICE,1,18187.66,18187.66,1,1,1,0,0,1.0,1.0,1.0
