transaction_date,transaction_count,transaction_value,successful_transactions,failed_transactions,pending_transactions,chargeback_transactions,fraud_chargeback_transactions,high_risk_transactions,chargeback_ratio,fraud_chargeback_ratio
2026-02-24,220,2057329.33,184,20,16,28,10,10,0.12727272727272726,0.045454545454545456
2026-02-25,243,2440784.02,200,30,13,32,10,10,0.13168724279835392,0.0411522633744856
2026-02-26,214,2289015.44,184,24,6,27,6,7,0.1261682242990654,0.028037383177570093
2026-02-27,221,2450467.09,190,19,12,24,12,12,0.1085972850678733,0.05429864253393665
2026-02-28,226,2482187.63,192,21,13,32,17,17,0.1415929203539823,0.0752212389380531
2026-03-01,205,2342918.26,181,13,11,25,10,10,0.12195121951219512,0.04878048780487805
2026-03-02,217,2277742.1,178,30,9,25,10,10,0.1152073732718894,0.04608294930875576
2026-03-03,218,2454317.06,179,22,17,19,10,10,0.0871559633027523,0.045871559633027525
2026-03-04,195,1822830.41,161,18,16,27,8,9,0.13846153846153847,0.041025641025641026
2026-03-05,196,2176429.47,171,16,9,25,9,9,0.12755102040816327,0.04591836734693878
2026-03-06,175,1885250.17,147,15,13,16,8,8,0.09142857142857143,0.045714285714285714
2026-03-07,190,2055841.36,158,14,18,20,4,4,0.10526315789473684,0.021052631578947368
2026-03-08,193,2191366.62,172,14,7,35,8,8,0.18134715025906736,0.04145077720207254
2026-03-09,193,2152581.29,170,17,6,23,9,9,0.11917098445595854,0.046632124352331605
2026-03-10,194,2049933.11,170,20,4,18,9,9,0.09278350515463918,0.04639175257731959
2026-03-11,164,1786725.4,140,18,6,26,9,9,0.15853658536585366,0.054878048780487805
2026-03-12,180,1919955.15,163,13,4,21,10,10,0.11666666666666667,0.05555555555555555
2026-03-13,240,2498276.85,202,28,10,24,9,10,0.1,0.0375
2026-03-14,216,2218858.98,179,24,13,27,15,15,0.125,0.06944444444444445
2026-03-15,209,2139353.89,187,14,8,35,14,14,0.1674641148325359,0.06698564593301436
2026-03-16,254,2989920.0,213,27,14,32,8,8,0.12598425196850394,0.031496062992125984
2026-03-17,209,2122939.86,177,24,8,32,14,14,0.15311004784688995,0.06698564593301436
2026-03-18,231,2491418.46,195,24,12,32,10,10,0.13852813852813853,0.04329004329004329
2026-03-19,216,2352756.23,181,22,13,33,12,12,0.1527777777777778,0.05555555555555555
2026-03-20,232,2416582.74,193,24,15,24,8,8,0.10344827586206896,0.034482758620689655
2026-03-21,226,2214100.09,189,24,13,27,12,12,0.11946902654867257,0.05309734513274336
2026-03-22,198,2265183.16,164,24,10,32,6,6,0.16161616161616163,0.030303030303030304
2026-03-23,206,2387820.55,175,15,16,24,8,8,0.11650485436893204,0.038834951456310676
2026-03-24,216,2527911.1,187,19,10,28,14,14,0.12962962962962962,0.06481481481481481
2026-03-25,213,2448298.15,189,19,5,29,8,8,0.13615023474178403,0.03755868544600939
2026-03-26,214,2546749.87,179,24,11,29,12,13,0.13551401869158877,0.056074766355140186
2026-03-27,225,2256428.64,197,22,6,27,9,10,0.12,0.04
2026-03-28,199,2184157.59,171,19,9,21,8,8,0.10552763819095477,0.04020100502512563
2026-03-29,200,2201634.82,172,20,8,32,8,8,0.16,0.04
2026-03-30,210,2207490.73,179,24,7,16,7,7,0.0761904761904762,0.03333333333333333
2026-03-31,233,2525337.96,204,20,9,22,7,7,0.0944206008583691,0.030042918454935622
2026-04-01,38,501851.52999999997,33,4,1,5,3,3,0.13157894736842105,0.07894736842105263
2026-04-02,47,457067.35,36,8,3,3,1,1,0.06382978723404255,0.02127659574468085
2026-04-03,44,448784.83,41,2,1,4,2,3,0.09090909090909091,0.045454545454545456
2026-05-01,41,425268.92,35,2,4,4,3,3,0.0975609756097561,0.07317073170731707
2026-05-02,48,499965.1,42,3,3,5,1,1,0.10416666666666667,0.020833333333333332
2026-05-03,49,445194.46,36,5,8,8,2,2,0.16326530612244897,0.04081632653061224
2026-06-01,44,426686.95999999996,34,7,3,5,2,2,0.11363636363636363,0.045454545454545456
2026-06-02,42,395572.0,34,6,2,5,1,1,0.11904761904761904,0.023809523809523808
2026-06-03,51,566859.8099999999,42,7,2,2,0,0,0.0392156862745098,0.0
2026-07-01,39,414148.04,35,2,2,6,3,3,0.15384615384615385,0.07692307692307693
2026-07-02,40,372540.92,30,8,2,5,2,2,0.125,0.05
2026-07-03,45,406704.45,39,4,2,4,2,2,0.08888888888888889,0.044444444444444446
2026-08-01,47,408664.13,41,3,3,7,3,3,0.14893617021276595,0.06382978723404255
2026-08-02,49,608001.7,42,5,2,4,3,3,0.08163265306122448,0.061224489795918366
2026-08-03,52,591955.04,46,2,4,8,5,5,0.15384615384615385,0.09615384615384616
2026-09-01,53,571385.64,46,5,2,8,2,2,0.1509433962264151,0.03773584905660377
2026-09-02,33,331257.83,28,3,2,6,1,1,0.18181818181818182,0.030303030303030304
2026-09-03,49,621433.41,43,4,2,6,1,1,0.12244897959183673,0.02040816326530612
2026-10-01,52,688788.2,47,4,1,7,3,3,0.1346153846153846,0.057692307692307696
2026-10-02,51,455120.22000000003,41,8,2,3,1,1,0.058823529411764705,0.0196078431372549
2026-10-03,38,354065.26,32,4,2,4,1,1,0.10526315789473684,0.02631578947368421
2026-11-01,44,472690.96,37,5,2,3,1,1,0.06818181818181818,0.022727272727272728
2026-11-02,43,471073.27,35,5,3,4,3,3,0.09302325581395349,0.06976744186046512
2026-11-03,47,529994.33,40,5,2,8,1,1,0.1702127659574468,0.02127659574468085
2026-12-01,45,418768.54,43,2,0,8,4,4,0.17777777777777778,0.08888888888888889
2026-12-02,49,501083.66,39,7,3,3,2,2,0.061224489795918366,0.04081632653061224
2026-12-03,52,507371.79,45,1,6,3,2,2,0.057692307692307696,0.038461538461538464
